monthday|maxtemp|mintemp|rainfall
2018-01-01|25.2|13.0|1.6
2018-01-02|25.2|13.0|1.5
2018-01-03|25.0|13.1|1.4
2018-01-04|25.1|13.1|1.5
2018-01-05|25.5|13.2|1.4
2018-01-06|25.8|13.2|1.2
2018-01-07|26.1|13.3|1.0
2018-01-08|26.3|13.4|0.9
2018-01-09|26.4|13.5|0.9
2018-01-10|26.8|13.6|1.1
2018-01-11|26.9|13.7|1.2
2018-01-12|26.8|13.7|1.3
2018-01-13|26.8|13.7|1.4
2018-01-14|26.8|13.8|1.5
2018-01-15|26.6|13.6|1.5
2018-01-16|26.8|13.6|1.5
2018-01-17|26.6|13.6|1.4
2018-01-18|26.5|13.6|1.3
2018-01-19|26.6|13.6|1.1
2018-01-20|26.7|13.6|1.1
2018-01-21|26.8|13.7|0.9
2018-01-22|27.1|13.9|1.1
2018-01-23|27.1|13.9|1.3
2018-01-24|27.3|14.1|1.2
2018-01-25|27.6|14.3|1.2
2018-01-26|27.6|14.5|1.5
2018-01-27|27.7|14.5|1.6
2018-01-28|27.6|14.5|1.9
2018-01-29|27.4|14.4|1.7
2018-01-30|27.1|14.3|1.7
2018-01-31|27.0|14.3|1.8
2018-02-01|26.7|14.2|1.8
2018-02-02|26.8|14.1|1.8
2018-02-03|26.7|14.1|1.9
2018-02-04|26.9|14.1|1.8
2018-02-05|27.0|14.2|1.7
2018-02-06|27.1|14.3|1.6
2018-02-07|26.7|14.3|1.4
2018-02-08|26.2|14.2|1.7
2018-02-09|25.8|14.2|1.5
2018-02-10|25.5|14.1|1.2
2018-02-11|25.2|14.0|1.3
2018-02-12|25.2|13.9|1.3
2018-02-13|25.1|14.0|1.2
2018-02-14|25.3|13.9|1.3
2018-02-15|25.7|14.0|1.4
2018-02-16|25.8|14.0|1.5
2018-02-17|25.8|14.1|1.6
2018-02-18|25.9|14.1|1.7
2018-02-19|25.8|14.3|1.9
2018-02-20|25.9|14.2|1.9
2018-02-21|25.8|14.2|1.8
2018-02-22|25.9|14.1|1.5
2018-02-23|25.9|14.0|1.8
2018-02-24|25.7|14.0|1.8
2018-02-25|25.6|13.9|1.7
2018-02-26|25.4|13.7|1.7
2018-02-27|25.3|13.5|1.8
2018-02-28|25.5|13.4|1.7
2018-03-01|25.4|13.3|1.8
2018-03-02|25.2|13.3|1.3
2018-03-03|25.1|13.1|1.2
2018-03-04|25.0|13.0|1.2
2018-03-05|25.2|13.0|1.1
2018-03-06|25.2|13.0|1.0
2018-03-07|24.8|13.0|1.2
2018-03-08|24.8|12.9|1.1
2018-03-09|24.9|13.0|1.1
2018-03-10|25.0|13.0|1.1
2018-03-11|24.9|13.0|1.1
2018-03-12|24.7|12.9|1.0
2018-03-13|24.6|13.0|1.1
2018-03-14|24.7|13.0|1.1
2018-03-15|24.6|13.1|1.1
2018-03-16|24.5|13.0|1.3
2018-03-17|24.3|12.9|1.4
2018-03-18|24.2|12.9|1.4
2018-03-19|24.0|12.8|1.5
2018-03-20|23.7|12.7|1.5
2018-03-21|23.4|12.5|1.4
2018-03-22|23.2|12.3|1.5
2018-03-23|23.1|12.1|1.4
2018-03-24|23.1|12.0|1.3
2018-03-25|23.2|12.0|1.3
2018-03-26|23.3|12.0|1.1
2018-03-27|23.3|11.9|1.2
2018-03-28|23.3|11.8|1.3
2018-03-29|23.2|11.7|1.2
2018-03-30|22.9|11.6|1.2
2018-03-31|22.6|11.4|1.2
2018-04-01|22.1|11.2|1.2
2018-04-02|21.7|10.9|1.3
2018-04-03|21.5|10.7|1.2
2018-04-04|21.4|10.5|1.3
2018-04-05|21.2|10.4|1.7
2018-04-06|21.2|10.3|1.8
2018-04-07|21.1|10.3|2.0
2018-04-08|21.3|10.3|1.9
2018-04-09|21.2|10.4|2.1
2018-04-10|21.1|10.5|2.2
2018-04-11|21.0|10.5|2.1
2018-04-12|20.7|10.4|1.8
2018-04-13|20.5|10.3|1.9
2018-04-14|20.4|10.1|1.8
2018-04-15|20.2|10.0|1.8
2018-04-16|20.1|9.8|1.7
2018-04-17|20.0|9.7|1.7
2018-04-18|19.9|9.6|1.9
2018-04-19|19.9|9.7|2.4
2018-04-20|19.9|9.8|2.5
2018-04-21|19.8|9.8|2.7
2018-04-22|19.6|9.9|2.7
2018-04-23|19.3|9.8|2.7
2018-04-24|19.1|9.7|2.5
2018-04-25|19.0|9.5|2.3
2018-04-26|18.8|9.4|1.9
2018-04-27|18.7|9.1|1.6
2018-04-28|18.5|9.0|1.5
2018-04-29|18.4|8.9|1.4
2018-04-30|18.3|8.8|1.6
2018-05-01|18.2|8.8|1.7
2018-05-02|18.0|8.8|1.7
2018-05-03|17.8|8.7|1.5
2018-05-04|17.7|8.6|1.5
2018-05-05|17.6|8.4|1.4
2018-05-06|17.5|8.4|1.4
2018-05-07|17.4|8.4|1.3
2018-05-08|17.2|8.3|1.3
2018-05-09|17.1|8.2|1.3
2018-05-10|17.0|8.2|1.4
2018-05-11|16.9|8.1|1.6
2018-05-12|16.8|8.2|1.8
2018-05-13|16.5|8.1|1.9
2018-05-14|16.4|8.0|1.9
2018-05-15|16.4|7.9|1.8
2018-05-16|16.2|7.8|1.8
2018-05-17|16.1|7.7|1.9
2018-05-18|16.0|7.7|1.6
2018-05-19|15.9|7.7|1.4
2018-05-20|15.8|7.7|1.2
2018-05-21|15.7|7.6|1.3
2018-05-22|15.5|7.5|1.3
2018-05-23|15.4|7.5|1.4
2018-05-24|15.4|7.5|1.4
2018-05-25|15.3|7.5|1.4
2018-05-26|15.2|7.4|1.5
2018-05-27|15.1|7.2|1.6
2018-05-28|15.1|7.2|1.6
2018-05-29|15.0|7.1|1.8
2018-05-30|14.9|6.9|1.7
2018-05-31|14.8|6.8|1.6
2018-06-01|14.7|6.6|1.7
2018-06-02|14.6|6.5|1.6
2018-06-03|14.5|6.4|1.6
2018-06-04|14.4|6.3|1.5
2018-06-05|14.3|6.3|1.2
2018-06-06|14.2|6.3|1.3
2018-06-07|14.2|6.2|1.3
2018-06-08|14.1|6.2|1.4
2018-06-09|14.1|6.2|1.3
2018-06-10|14.1|6.2|1.3
2018-06-11|14.0|6.2|1.3
2018-06-12|13.9|6.2|1.4
2018-06-13|13.9|6.1|1.3
2018-06-14|13.8|6.1|1.2
2018-06-15|13.8|6.1|1.3
2018-06-16|13.7|6.1|1.3
2018-06-17|13.5|6.0|1.3
2018-06-18|13.4|6.0|1.4
2018-06-19|13.3|5.9|1.4
2018-06-20|13.3|6.0|1.4
2018-06-21|13.2|5.9|1.4
2018-06-22|13.2|5.8|1.4
2018-06-23|13.2|5.6|1.4
2018-06-24|13.2|5.6|1.3
2018-06-25|13.3|5.5|1.1
2018-06-26|13.3|5.5|1.0
2018-06-27|13.3|5.5|1.0
2018-06-28|13.3|5.5|1.0
2018-06-29|13.2|5.5|1.1
2018-06-30|13.2|5.6|1.1
2018-07-01|13.1|5.7|1.3
2018-07-02|13.1|5.8|1.5
2018-07-03|13.1|5.9|1.5
2018-07-04|13.0|5.8|1.5
2018-07-05|12.9|5.6|1.5
2018-07-06|12.8|5.5|1.4
2018-07-07|12.8|5.2|1.3
2018-07-08|12.7|5.0|1.2
2018-07-09|12.7|4.9|1.1
2018-07-10|12.7|4.9|1.2
2018-07-11|12.7|5.0|1.4
2018-07-12|12.7|5.1|1.4
2018-07-13|12.7|5.2|1.4
2018-07-14|12.7|5.3|1.5
2018-07-15|12.7|5.3|1.5
2018-07-16|12.8|5.3|1.5
2018-07-17|12.8|5.1|1.5
2018-07-18|12.9|5.0|1.4
2018-07-19|13.0|5.0|1.5
2018-07-20|12.9|5.0|1.5
2018-07-21|13.0|5.1|1.5
2018-07-22|13.1|5.2|1.5
2018-07-23|13.1|5.2|1.4
2018-07-24|13.2|5.3|1.3
2018-07-25|13.4|5.4|1.2
2018-07-26|13.5|5.6|1.3
2018-07-27|13.8|5.7|1.3
2018-07-28|14.0|5.8|1.2
2018-07-29|14.0|5.8|1.2
2018-07-30|14.1|5.9|1.3
2018-07-31|14.1|6.0|1.4
2018-08-01|14.0|5.9|1.5
2018-08-02|13.9|5.7|1.4
2018-08-03|13.9|5.6|1.5
2018-08-04|13.8|5.5|1.6
2018-08-05|13.8|5.5|1.6
2018-08-06|13.7|5.4|1.6
2018-08-07|13.7|5.4|1.5
2018-08-08|13.6|5.3|1.6
2018-08-09|13.7|5.4|1.7
2018-08-10|13.8|5.4|1.7
2018-08-11|13.8|5.5|1.5
2018-08-12|13.9|5.5|1.6
2018-08-13|13.9|5.5|1.6
2018-08-14|14.0|5.5|1.7
2018-08-15|14.2|5.6|1.6
2018-08-16|14.3|5.7|1.4
2018-08-17|14.3|5.8|1.4
2018-08-18|14.4|5.8|1.6
2018-08-19|14.5|5.8|1.4
2018-08-20|14.7|5.9|1.5
2018-08-21|14.7|5.8|1.5
2018-08-22|14.8|5.8|1.5
2018-08-23|14.8|5.8|1.4
2018-08-24|14.9|5.8|1.5
2018-08-25|15.1|5.8|1.4
2018-08-26|15.1|5.8|1.5
2018-08-27|15.2|6.0|1.4
2018-08-28|15.3|6.0|1.3
2018-08-29|15.4|6.0|1.4
2018-08-30|15.5|6.1|1.5
2018-08-31|15.6|6.2|1.5
2018-09-01|15.6|6.1|1.5
2018-09-02|15.8|6.2|1.4
2018-09-03|15.9|6.2|1.3
2018-09-04|16.0|6.2|1.4
2018-09-05|16.2|6.3|1.4
2018-09-06|16.3|6.3|1.3
2018-09-07|16.4|6.4|1.4
2018-09-08|16.5|6.5|1.4
2018-09-09|16.5|6.6|1.4
2018-09-10|16.7|6.7|1.7
2018-09-11|16.8|6.8|1.8
2018-09-12|16.7|6.8|1.8
2018-09-13|16.7|6.8|1.9
2018-09-14|16.7|6.8|2.0
2018-09-15|16.7|6.9|2.0
2018-09-16|16.9|6.8|2.0
2018-09-17|16.9|6.8|1.7
2018-09-18|16.9|7.0|1.6
2018-09-19|17.0|7.0|1.7
2018-09-20|17.1|7.1|1.6
2018-09-21|17.2|7.1|1.5
2018-09-22|17.3|7.2|1.5
2018-09-23|17.2|7.0|1.5
2018-09-24|17.4|7.1|1.5
2018-09-25|17.5|7.0|1.4
2018-09-26|17.4|6.9|1.5
2018-09-27|17.6|7.0|1.6
2018-09-28|17.7|7.0|1.8
2018-09-29|17.7|7.1|1.7
2018-09-30|17.8|7.3|1.8
2018-10-01|17.9|7.4|1.9
2018-10-02|18.1|7.5|2.0
2018-10-03|18.4|7.7|1.8
2018-10-04|18.5|7.7|1.7
2018-10-05|18.6|7.8|1.6
2018-10-06|18.8|7.8|1.7
2018-10-07|19.0|7.7|1.6
2018-10-08|18.9|7.8|1.5
2018-10-09|19.0|7.8|1.7
2018-10-10|19.1|7.8|1.8
2018-10-11|19.3|7.9|1.8
2018-10-12|19.4|8.0|1.8
2018-10-13|19.5|8.1|2.1
2018-10-14|19.5|8.2|2.2
2018-10-15|19.6|8.1|2.3
2018-10-16|19.8|8.2|2.1
2018-10-17|19.9|8.3|2.2
2018-10-18|19.9|8.4|2.2
2018-10-19|19.7|8.5|2.2
2018-10-20|19.7|8.5|2.0
2018-10-21|19.7|8.6|2.0
2018-10-22|19.7|8.8|2.0
2018-10-23|19.5|8.9|1.9
2018-10-24|19.5|8.8|1.8
2018-10-25|19.6|8.9|1.7
2018-10-26|19.9|9.0|1.7
2018-10-27|20.2|9.1|1.6
2018-10-28|20.3|9.2|1.7
2018-10-29|20.4|9.3|1.7
2018-10-30|20.6|9.3|1.7
2018-10-31|20.7|9.4|1.7
2018-11-01|20.8|9.3|1.8
2018-11-02|20.8|9.4|1.9
2018-11-03|20.7|9.4|2.1
2018-11-04|20.7|9.4|2.2
2018-11-05|20.8|9.4|2.2
2018-11-06|20.8|9.4|2.2
2018-11-07|20.7|9.3|2.2
2018-11-08|20.7|9.4|2.1
2018-11-09|21.0|9.5|2.0
2018-11-10|21.3|9.5|2.1
2018-11-11|21.3|9.6|2.0
2018-11-12|21.3|9.6|1.9
2018-11-13|21.4|9.6|2.1
2018-11-14|21.8|9.7|2.0
2018-11-15|22.0|9.9|2.1
2018-11-16|22.2|10.0|2.2
2018-11-17|22.4|10.2|1.9
2018-11-18|22.5|10.4|1.9
2018-11-19|22.7|10.5|2.1
2018-11-20|22.8|10.7|2.0
2018-11-21|22.6|10.8|2.0
2018-11-22|22.6|10.8|2.0
2018-11-23|22.4|10.9|1.8
2018-11-24|22.4|10.8|1.8
2018-11-25|22.7|10.9|1.8
2018-11-26|22.9|10.9|1.5
2018-11-27|23.0|11.0|1.6
2018-11-28|23.2|11.1|1.6
2018-11-29|23.2|11.2|1.6
2018-11-30|23.2|11.2|1.9
2018-12-01|23.1|11.3|2.0
2018-12-02|23.0|11.2|2.1
2018-12-03|23.0|11.3|2.2
2018-12-04|22.9|11.2|2.1
2018-12-05|23.0|11.3|2.2
2018-12-06|23.1|11.3|2.2
2018-12-07|23.3|11.4|2.0
2018-12-08|23.3|11.5|1.8
2018-12-09|23.4|11.5|1.6
2018-12-10|23.6|11.6|1.6
2018-12-11|23.6|11.7|1.8
2018-12-12|23.7|11.7|1.7
2018-12-13|23.7|11.7|1.8
2018-12-14|23.9|11.7|1.7
2018-12-15|24.1|11.8|1.7
2018-12-16|24.4|11.8|1.8
2018-12-17|24.4|11.8|1.8
2018-12-18|24.8|11.8|1.6
2018-12-19|25.0|11.9|1.4
2018-12-20|25.3|12.0|1.2
2018-12-21|25.6|12.1|1.2
2018-12-22|25.8|12.3|1.2
2018-12-23|25.9|12.4|1.6
2018-12-24|26.2|12.6|1.4
2018-12-25|26.5|12.8|1.5
2018-12-26|26.4|12.9|1.6
2018-12-27|26.5|12.9|1.6
2018-12-28|26.4|12.9|1.6
2018-12-29|26.1|13.0|1.5
2018-12-30|25.8|13.1|1.5
2018-12-31|25.4|13.0|1.6
